code,signal_date,entry_date,entry_price,exit_date,exit_price,return_pct,exit_reason,hold_sessions_to_exit,fixed10_return_pct
7199,2020-07-16,2020-07-17,626.7,2020-07-20,607.899,-3.0000000000000027,stop_-3%,1,-9.893090793042925
7201,2021-03-03,2021-03-04,608.9,2021-03-04,590.6329999999999,-3.0000000000000138,stop_-3%,0,-0.968960420430276
7201,2022-05-18,2022-05-19,485.0,2022-06-09,562.2,15.917525773195894,max15_next_open,15,10.680412371134018
7239,2018-08-27,2018-08-28,1850.0,2018-08-29,1794.5,-3.0000000000000027,stop_-3%,1,-7.621621621621621
7242,2020-04-23,2020-04-24,1011.0,2020-05-21,1129.0,11.671612265084086,max15_next_open,15,5.885262116716117
7383,2025-01-21,2025-01-22,481.0,2025-02-03,481.0,0.0,strict_gakutto_next_open,8,-1.2474012474012475
7600,2018-07-12,2018-07-13,1092.0,2018-07-23,1063.0,-2.6556776556776573,strict_gakutto_next_open,5,1.3736263736263687
7721,2025-02-06,2025-02-07,3160.0,2025-02-25,3065.2,-3.0000000000000027,stop_-3%,10,1.2658227848101333
7729,2021-03-05,2021-03-08,4820.0,2021-03-08,4675.4,-3.0000000000000027,stop_-3%,0,9.12863070539418
7731,2022-02-01,2022-02-02,1236.0,2022-02-21,1282.0,3.721682847896446,strict_gakutto_next_open,12,10.598705501618122
7735,2021-03-12,2021-03-15,2105.0,2021-04-05,2715.0,28.97862232779098,max15_next_open,15,14.014251781472687
7747,2022-08-31,2022-09-01,2471.0,2022-09-02,2396.87,-3.0000000000000027,stop_-3%,1,-0.44516390125455274
7826,2018-03-30,2018-04-02,1833.3,2018-04-03,1776.7,-3.0873288605247295,stop_gap,1,-9.725631375115906
7867,2019-02-25,2019-02-26,1135.0,2019-03-06,1138.0,0.2643171806167466,strict_gakutto_next_open,6,4.493392070484581
7893,2018-07-17,2018-07-18,1289.0,2018-08-08,1241.0,-3.723816912335143,max15_next_open,15,2.482544608223436
7965,2019-03-29,2019-04-01,1157.0,2019-04-01,1122.29,-3.0000000000000027,stop_-3%,0,-0.691443388072599
7990,2019-02-01,2019-02-04,1252.0,2019-02-12,1213.0,-3.1150159744408934,strict_gakutto_next_open,5,13.218849840255587
7990,2019-06-07,2019-06-10,1682.5,2019-06-18,1685.0,0.14858841010401136,strict_gakutto_next_open,6,8.172362555720646
8070,2020-11-02,2020-11-04,541.0,2020-11-16,543.0,0.3696857670979714,strict_gakutto_next_open,8,-0.554528650646946
8074,2026-03-18,2026-03-19,5990.0,2026-03-23,5810.3,-2.9999999999999916,stop_-3%,1,1.5025041736226985
8093,2018-01-23,2018-01-24,1282.5,2018-02-01,1262.5,-1.5594541910331383,strict_gakutto_next_open,6,-1.949317738791423
8179,2020-12-02,2020-12-03,935.5,2020-12-24,971.0,3.794762159273124,strict_gakutto_next_open,15,4.756814537680376
8219,2022-10-03,2022-10-04,315.7,2022-10-26,346.0,9.597719353816924,strict_gakutto_next_open,15,10.45296167247387
8253,2020-11-27,2020-11-30,1246.0,2020-11-30,1208.62,-3.0000000000000138,stop_-3%,0,-1.1235955056179803
8337,2024-06-19,2024-06-20,1000.0,2024-06-28,1008.0,0.8000000000000007,strict_gakutto_next_open,6,5.000000000000004
8361,2026-03-18,2026-03-19,6190.0,2026-03-23,5800.0,-6.300484652665594,stop_gap,1,3.392568659127626
8368,2023-11-21,2023-11-22,545.0,2023-11-30,542.0,-0.5504587155963248,strict_gakutto_next_open,5,-0.3669724770642202
8386,2026-06-08,2026-06-09,2459.0,2026-06-19,2385.23,-3.0000000000000027,stop_-3%,8,2.8873525823505553
8550,2026-06-29,2026-06-30,939.0,2026-07-17,910.8299999999999,-3.0000000000000027,stop_-3%,13,4.579339723109688
8698,2022-09-29,2022-09-30,464.0,2022-09-30,450.08,-3.0000000000000027,stop_-3%,0,5.603448275862077
8715,2018-02-01,2018-02-02,887.5,2018-02-05,860.875,-3.0000000000000027,stop_-3%,1,-0.1352112676056394
8750,2020-05-26,2020-05-27,326.1,2020-06-05,357.8,9.720944495553496,strict_gakutto_next_open,7,17.264642747623405
9068,2019-01-18,2019-01-21,2667.0,2019-02-12,2764.0,3.6370453693288285,max15_next_open,15,2.324709411323589
9068,2020-09-11,2020-09-14,3295.0,2020-09-16,3275.0,-0.6069802731411222,strict_gakutto_next_open,2,12.291350531107748
9416,2018-08-09,2018-08-10,1366.7,2018-08-29,1500.0,9.753420648276867,strict_gakutto_next_open,13,14.385014999634137
9416,2022-10-07,2022-10-11,1396.0,2022-10-19,1416.0,1.4326647564469885,strict_gakutto_next_open,6,-10.028653295128942
9424,2020-05-08,2020-05-11,155.0,2020-06-01,174.0,12.25806451612903,max15_next_open,15,15.48387096774193
9468,2025-06-04,2025-06-05,3720.0,2025-06-12,3683.0,-0.9946236559139732,strict_gakutto_next_open,5,7.204301075268815
9501,2024-10-17,2024-10-18,659.0,2024-10-21,634.4,-3.732928679817904,stop_gap,1,-6.631259484066776
9509,2025-02-21,2025-02-25,728.3,2025-03-18,840.3,15.378278182067827,max15_next_open,15,5.451050391322254
9517,2021-02-26,2021-03-01,1740.0,2021-03-02,1687.8,-3.0000000000000027,stop_-3%,1,4.597701149425282
9517,2026-04-24,2026-04-27,990.0,2026-05-12,1063.0,7.373737373737366,strict_gakutto_next_open,7,-2.929292929292926
9519,2026-09-09,2026-09-10,897.0,2026-09-14,870.09,-2.9999999999999916,stop_-3%,2,
9603,2022-09-08,2022-09-09,2070.0,2022-09-22,2142.0,3.4782608695652195,strict_gakutto_next_open,8,4.685990338164259
9629,2022-04-27,2022-04-28,1340.0,2022-04-28,1299.8,-3.0000000000000027,stop_-3%,0,-5.1492537313432845
9697,2020-11-09,2020-11-10,1340.0,2020-11-11,1172.5,-12.5,stop_gap,1,2.0522388059701413
9715,2019-02-13,2019-02-14,2151.0,2019-02-27,2227.0,3.5332403533240297,strict_gakutto_next_open,9,4.370060437006051
9824,2022-02-01,2022-02-02,3105.0,2022-02-15,3140.0,1.1272141706924366,strict_gakutto_next_open,8,1.7713365539452575
9880,2018-10-17,2018-10-18,1263.0,2018-10-25,1224.0,-3.0878859857482177,strict_gakutto_next_open,5,-2.2169437846397466
9991,2020-08-11,2020-08-12,914.0,2020-08-20,896.0,-1.969365426695846,strict_gakutto_next_open,6,3.2822757111597323
