code,signal_date,entry_date,ret10,atr14_pct,dd60_pct,ma25_slope5_pct,avg_turnover20,vol_ratio20,gc_gap_pct,gc_runner_score
4194,2022-03-02,2022-03-03,-17.410714285714292,6.343825665859565,-17.979610750695084,1.6781836130306038,1703458900.0,0.9237593838354294,0.6067961165048485,1
4206,2019-01-08,2019-01-09,-1.9021739130434812,3.8633709614636045,-17.620650953984285,0.5340453938584844,675724200.0,0.8279464921769875,0.26560424966799445,1
4221,2018-04-02,2018-04-03,-0.3454231433506094,2.93691080493111,-15.57142857142857,0.250556792873069,54004950.0,0.604133545310016,0.805331852263258,3
4228,2018-04-02,2018-04-03,3.263598326359829,2.473435655253837,-19.65471447543161,0.31225337130700304,126492815.0,0.7437259571350064,1.200656769514974,1
4246,2020-08-11,2020-08-12,4.933586337760909,4.484425349087004,-17.901234567901238,0.6124161073825629,76242525.0,1.9520492987129698,2.6432085383140125,1
4331,2018-12-04,2018-12-05,2.3834196891191706,6.2283986175115205,-17.091516924362725,0.48063689682187327,394008605.0,0.5404178019981835,1.1041807147673666,1
4345,2020-04-28,2020-04-30,15.081967213114744,4.011741682974559,-19.55922865013774,0.8503140799754894,25776265.0,2.113022113022113,1.29130269654385,2
4373,2024-09-25,2024-09-26,-1.2120205877469648,2.8533478807428683,-15.025395033860045,0.7692410155313523,442026770.0,0.5798458149779736,0.23264575057997394,1
4385,2021-01-04,2021-01-05,10.103092783505163,2.9549102582810445,-15.893470790378005,0.8503401360544283,5201463525.0,1.5907649045798256,1.3801366823466665,0
4410,2021-03-11,2021-03-12,5.937499999999996,2.055712796067332,-15.803336259877089,0.5299304731219312,20754210.0,1.029011786038078,0.05060515329144977,1
4461,2024-09-27,2024-09-30,3.5825545171339623,3.055862221240892,-17.051282051282048,0.4645076872751064,193975375.0,1.0958015885881018,1.1656681427455018,0
4480,2024-09-26,2024-09-27,4.86486486486486,5.032692688725975,-19.079685746352414,1.4858225300420358,1880926925.0,0.7167985530183134,0.968268782081183,1
4483,2022-06-24,2022-06-27,16.387959866220726,4.92966286684453,-19.535519125683066,1.3098569651741165,1754002525.0,2.1350775511420355,2.014195281028197,1
4547,2020-05-07,2020-05-08,-6.185958254269453,2.6352021147703493,-16.72552166934189,0.3201143709597343,213495390.0,1.235071715777471,0.1502524861364929,1
4552,2022-11-01,2022-11-02,-5.326876513317192,4.097690578377273,-15.272727272727272,0.32840410789878316,1055316850.0,1.1093879756270824,0.7057443426928156,3
4587,2018-06-11,2018-06-12,-4.347826086956519,3.3402922755741122,-16.695652173913047,0.6540538167771448,4772714850.0,0.6312224658916684,0.0436109899694781,0
